
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	50000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
139.57000	25982.09436	26132.37440	22.31603	20.48270
493.70000	3427.58029	3611.18669	17.11068	15.57512
493.70000	65952.69584	60178.47570	22.10736	20.47320
493.70000	78689.01210	89086.52517	22.05255	20.43430
139.57000	271.32404	330.96546	17.88378	16.37240
139.57000	125.97887	128.95923	27.57976	25.75091
105.66000	143.14600	154.95498	21.23658	19.64354
105.66000	2322.65305	2661.46397	19.66853	18.06675
105.66000	172.76045	171.69230	19.35954	17.90219
938.27000	2040.93883	2270.85149	17.39042	15.87450
139.57000	122.05706	124.20653	28.27334	26.56104
105.66000	271.94671	217.08529	16.88280	15.43942
105.66000	8860.79773	10847.67752	21.91137	20.09198
139.57000	2600.95430	2719.25687	18.88793	17.40482
105.66000	102.76266	83.22168	26.50296	24.47491
938.27000	47312.80064	54016.87166	21.34218	19.55166
493.70000	22605.72996	19400.01928	20.70869	18.97368
105.66000	75.36373	78.12640	32.04041	30.29206
139.57000	1249.18730	1152.79071	18.03606	16.25994
938.27000	91547.54909	96256.94866	21.91580	20.32571
105.66000	475.08126	581.86152	16.69747	15.26237
139.57000	5213.10516	4987.17357	20.52494	19.03933
139.57000	2948.46005	2986.88295	19.46979	17.80733
493.70000	11784.06169	14187.40967	19.52016	17.91029
139.57000	48933.64229	47198.08317	22.52205	20.75762
105.66000	50.38252	47.08386	32.04432	30.17854
493.70000	29406.08182	30426.39809	21.11863	19.26003
493.70000	23058.61258	23348.14095	20.34426	18.81598
938.27000	1604.02124	1508.43259	18.29816	16.82824
105.66000	21540.87594	21269.93527	21.94452	20.37130
493.70000	20145.19970	18923.12247	20.52061	18.90750
139.57000	81495.72239	87798.27804	22.33957	20.56243
139.57000	171.18356	173.43896	22.25098	20.54026
139.57000	87798.00844	87845.73068	22.48171	20.74618
938.27000	19585.06821	20349.39947	19.27855	17.60475
938.27000	3720.77794	3306.91999	16.52123	14.87165
938.27000	8874.08701	8642.95440	17.45346	15.95123
105.66000	21481.72267	21501.10923	22.40568	20.65800
139.57000	14524.09568	13266.67896	21.62572	20.08424
493.70000	1272.64661	1206.41597	16.92662	15.33400
139.57000	49521.45085	52316.18659	22.52237	20.73826
938.27000	69604.57606	72257.07981	21.02697	19.56838
105.66000	23052.95459	18620.81714	22.14981	20.64040
493.70000	2674.04339	2781.12798	17.06507	15.35952
105.66000	5757.64167	6130.42459	21.32391	19.30650
493.70000	406.24037	379.00697	31.21050	29.12290
105.66000	47.04466	45.12730	32.41836	30.39960
105.66000	858.08533	876.05465	17.91969	16.25325
139.57000	833.60946	860.30786	16.62155	15.11875
139.57000	134.78746	148.66441	26.80941	24.93462
493.70000	858.14775	976.41660	17.97206	16.54910
139.57000	2567.07883	2949.93874	19.05172	17.37930
139.57000	149.14770	163.15285	24.18462	22.59347
105.66000	26259.66632	21234.15405	22.51276	20.86304
105.66000	133.55533	141.36071	22.14495	20.63565
105.66000	1135.90216	1091.41418	18.21252	16.51250
139.57000	19580.53243	20523.89604	21.75550	19.98990
493.70000	614.65384	592.38573	22.20029	20.59658
938.27000	20073.38602	24021.19314	19.32079	17.66019
139.57000	6062.81246	6167.18809	21.39340	19.66184
938.27000	31766.86983	31463.89857	20.66877	19.03827
493.70000	18832.59471	19427.33242	20.48408	18.63910
139.57000	248.43295	239.81893	17.92412	16.55878
493.70000	525.40763	530.98415	24.34904	22.71667
493.70000	2901.27681	2865.13630	16.91617	15.28806
139.57000	144.50382	133.95632	24.75380	23.24344
938.27000	8785.81343	8546.95968	17.43467	15.87203
493.70000	9108.00056	8715.71920	18.87009	17.25838
493.70000	36000.67171	39600.28672	20.90996	19.45469
105.66000	2446.72870	2988.41288	19.56895	17.96362
938.27000	4842.69165	5023.18685	17.20013	15.52091
493.70000	7581.35083	7806.01917	18.63713	17.14662
493.70000	1402.45507	1454.47325	16.74774	15.14709
938.27000	34095.86688	33425.57754	20.45451	18.71901
493.70000	9515.22323	7101.60278	19.25859	17.79853
493.70000	437.34401	424.87795	27.75516	26.09006
938.27000	6378.64862	6700.06657	17.18883	15.70166
493.70000	1339.27877	1258.73527	16.36335	14.88098
493.70000	57034.09330	57875.97034	21.76564	20.19635
139.57000	17071.56919	16880.73096	21.61431	19.93851
139.57000	1154.93403	1318.11258	17.54037	15.90371
493.70000	32460.52286	33160.38470	20.90542	19.43990
938.27000	1039.31733	1000.56440	23.49568	21.59942
938.27000	41251.31761	43407.70800	20.87775	19.18963
938.27000	39047.45732	51214.83024	20.67975	19.10867
139.57000	95814.38219	84512.02807	22.32996	20.82942
493.70000	26547.14057	29032.34274	21.26668	19.48056
105.66000	29343.39793	26444.01366	22.48340	20.76571
938.27000	10114.11096	9657.35590	18.12286	16.50475
139.57000	4762.04347	4470.61906	20.18745	18.63083
105.66000	36610.83391	35979.32313	22.62005	20.84474
938.27000	2784.43583	2614.85867	16.04244	14.52458
105.66000	24046.18681	22215.08834	22.40315	20.78666
493.70000	1103.05759	1034.94547	17.33730	15.48043
493.70000	565.05322	574.93319	23.66887	21.58939
493.70000	831.76706	957.25012	19.19956	17.27282
493.70000	55492.94105	54279.85875	21.69869	20.03813
938.27000	1753.54328	1880.33949	18.26563	16.36184
105.66000	10690.42078	11014.64780	21.53437	19.96298
938.27000	3641.92033	3893.71918	16.80592	15.16909
938.27000	3038.70841	2834.15869	16.46832	14.85405
493.70000	1314.80836	1507.15851	16.96284	15.43608
493.70000	52872.16975	42740.57797	21.99574	20.27907
493.70000	809.32684	739.96083	19.59862	17.99811
938.27000	13821.95716	14755.50074	18.48021	16.88086
938.27000	9640.42451	8687.91362	17.89931	16.22614
105.66000	60.50963	62.01698	32.74075	30.99395
493.70000	10198.00818	8512.14155	19.37042	17.66160
139.57000	1885.96993	1540.36753	18.50809	16.87435
938.27000	21369.45973	24424.64137	19.84678	18.13891
493.70000	2493.77734	2165.74309	16.94574	15.15782
493.70000	32667.35519	35397.02367	21.70492	19.71130
105.66000	2468.43365	2375.04169	19.57486	17.99424
493.70000	66376.15520	63098.92745	22.11781	20.33856
105.66000	124.32820	130.91439	22.77993	21.14922
139.57000	3882.10952	3452.10119	20.24426	18.53702
938.27000	5776.95560	5128.19069	17.39274	15.69885
493.70000	1436.90587	1469.74090	16.56780	15.16240
938.27000	923.98251	893.08978	25.89565	24.37635
139.57000	285.85220	294.92819	17.63108	16.06088
493.70000	827.21741	838.10867	18.64590	17.06690
139.57000	6428.47831	6737.74326	20.71428	18.94816
139.57000	13952.69955	12894.91564	21.89204	20.21958
493.70000	14607.97051	14597.42787	20.36475	18.78518
493.70000	406.02928	404.64176	30.97934	28.99266
139.57000	22379.13123	26306.44190	22.36228	20.74424
493.70000	92536.57713	90712.58876	22.50948	20.64938
938.27000	1490.52542	1189.93518	19.61890	18.03366
938.27000	1082.21302	1157.31159	22.86599	21.39773
105.66000	4871.76324	4683.02746	20.65779	19.07858
139.57000	333.20377	324.92002	17.29200	15.54819
105.66000	39583.92743	37950.64636	22.45436	20.69285
938.27000	3115.50636	3010.27009	16.22956	14.77590
938.27000	6127.90090	5986.25574	17.19823	15.71768
105.66000	229.05920	194.55533	17.41154	15.84986
139.57000	60392.31472	48512.53079	22.48984	21.03024
938.27000	1474.51001	1523.64787	19.60031	18.04440
938.27000	1081.61092	1167.43199	22.83114	21.22472
139.57000	467.31302	459.18108	16.16525	14.70110
105.66000	37841.66998	34468.04966	22.13313	20.43606
105.66000	254.29893	240.16474	16.69768	15.19214
938.27000	824.15556	726.65652	28.28707	26.38064
493.70000	49510.75661	44999.83236	21.42518	19.64477
938.27000	3604.56181	3490.83309	16.30348	14.87974
938.27000	1903.76555	1677.23620	17.83996	16.42573
493.70000	481.26775	520.44886	26.47751	24.90382
105.66000	3244.80831	3351.89842	20.20381	18.46205
938.27000	3280.97203	3399.68572	16.20516	14.72082
105.66000	4898.18979	5393.12058	21.38062	19.68138
493.70000	991.61097	987.47969	17.83563	16.28299
938.27000	1744.79092	1782.73738	18.08675	16.22755
493.70000	3971.08736	3988.62585	17.55389	15.89738
938.27000	97672.08765	106136.29915	21.95720	20.21888
493.70000	3435.88140	3671.12793	17.29517	15.74496
105.66000	113.66592	121.58594	24.40268	22.85272
105.66000	60.42018	62.84058	32.62924	30.72485
139.57000	131.23419	119.91766	26.59462	24.98056
938.27000	94172.45700	106067.06628	21.78919	20.14056
139.57000	370.57138	369.13631	16.68924	15.26061
938.27000	1725.29677	1794.77457	18.02666	16.54189
493.70000	757.12407	769.02661	19.56018	17.99389
139.57000	1634.05678	1403.29046	18.28179	16.59187
493.70000	48882.63928	43020.43055	21.64948	19.88272
938.27000	6667.88449	5889.47220	17.23445	15.65414
105.66000	705.61778	828.01787	16.88850	15.52461
938.27000	1457.83726	1496.05797	19.71985	18.11709
938.27000	4853.95026	5509.45269	16.75069	15.13670
105.66000	48141.69013	49281.72430	22.68045	20.87782
105.66000	107.58063	122.12653	25.84423	24.20246
139.57000	1540.00153	1398.76785	18.02180	16.40074
493.70000	81176.80407	84380.08001	21.99659	20.40069
105.66000	647.87551	595.01178	17.16570	15.44946
493.70000	8833.87112	8817.42868	19.26545	17.65878
493.70000	638.90223	558.30950	21.77652	20.08706
139.57000	3332.97056	3467.53561	19.95016	18.26792
938.27000	1679.81757	1981.93114	18.48222	16.84707
105.66000	53.71734	55.85513	32.00388	30.28766
938.27000	1955.70418	1998.70928	17.98716	16.16666
139.57000	15397.66617	14266.47622	21.92393	20.22891
938.27000	843.49344	966.83661	27.49433	25.69600
105.66000	43114.92779	40078.09591	22.49766	20.74670
938.27000	1242.31925	1174.08145	20.86445	19.28626
139.57000	26511.14475	25483.93077	21.99384	20.21166
105.66000	398.47283	408.89166	16.65016	15.14445
105.66000	60413.99970	56603.57427	22.48932	20.73526
139.57000	445.52405	438.16150	16.29989	14.82114
105.66000	84.22374	97.34921	32.35742	30.45222
105.66000	2962.98385	2666.71461	19.87318	18.21019
493.70000	7855.31998	6816.44600	18.74073	17.21738
139.57000	698.25815	746.03543	16.56758	15.02336
938.27000	2702.34951	2239.01991	16.63580	15.10678
493.70000	1084.49854	1113.88833	17.56286	16.04750
105.66000	59204.16093	58290.56552	22.53546	20.95544
493.70000	405.81833	362.66304	31.33353	29.27056
105.66000	80050.40107	90665.01630	22.62089	20.82837
139.57000	352.45969	345.46317	16.85397	15.36674
105.66000	200.81705	211.66226	17.98020	16.46005
493.70000	1641.77493	1436.87134	16.23220	14.58213
105.66000	831.09754	840.75025	17.27088	15.54238
105.66000	190.79255	149.37928	18.01367	16.55262
139.57000	12427.57143	11829.41309	21.90376	20.00610
938.27000	15414.68800	17724.08501	18.66079	17.14346
105.66000	81.11447	66.40657	33.09430	30.81197
139.57000	19923.78860	20710.89670	22.65532	20.62104
105.66000	25570.26073	26288.48059	22.50252	20.75392
