
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	10000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
139.57000	3100.21825	2678.83815	19.24549	17.78392
139.57000	4900.44253	4936.47267	20.29706	18.82760
139.57000	166.90266	166.76344	22.51107	20.90827
139.57000	204.80308	230.97183	19.88712	18.50077
139.57000	721.83179	764.07706	16.68005	15.03410
105.66000	42446.68111	40033.52526	22.49048	21.01141
938.27000	30760.43594	31769.63448	20.34521	18.70018
493.70000	494.39563	510.64869	26.77393	24.76179
493.70000	1679.87130	1718.99534	16.38078	14.94979
139.57000	5780.43178	6573.90297	20.67447	18.96136
938.27000	8547.98186	7695.94621	17.75432	16.05771
938.27000	4187.58953	4518.32095	16.08974	14.75866
139.57000	44517.04370	43351.85594	22.34633	20.47549
493.70000	1696.87238	1376.35292	16.41404	14.91829
493.70000	688.24757	677.40405	20.29685	18.66445
493.70000	6350.47222	6657.98513	17.86351	16.27771
105.66000	24068.24964	22105.61863	21.93703	20.31744
139.57000	91004.29741	85535.16362	22.72512	20.93872
493.70000	34433.38373	34141.64336	21.31145	19.63350
493.70000	572.01174	547.11739	22.52944	21.01334
139.57000	35421.42175	27871.35451	22.16174	20.59904
105.66000	3164.79278	3098.19392	20.39316	18.77691
938.27000	54977.47379	51267.18960	20.95062	19.44835
493.70000	14699.37750	13297.19331	20.47943	18.62291
493.70000	59590.25012	53579.22732	21.86976	20.19987
938.27000	10461.56723	6341.93679	17.71788	16.26891
105.66000	37016.58606	30997.81773	22.38350	20.73298
139.57000	8057.71737	8446.44565	21.36932	19.73752
938.27000	4570.80107	3924.79697	16.44731	15.02934
139.57000	398.27506	361.01832	16.79674	15.31640
938.27000	2443.19077	2541.54591	16.93866	15.41672
493.70000	393.80007	345.95250	32.60653	30.73805
105.66000	142.32169	135.43878	20.88536	19.12170
105.66000	72.55555	68.11804	32.11518	30.28819
139.57000	2280.33161	2286.72206	18.68339	17.04982
493.70000	392.37799	418.49454	32.78056	30.87181
938.27000	63101.07859	69657.12677	20.82179	19.19808
493.70000	930.86417	836.42702	18.20079	16.67389
493.70000	1038.43192	1046.66238	17.32548	15.68019
938.27000	37163.73469	37011.53693	20.78166	18.98054
493.70000	3592.13256	3558.36850	17.13613	15.71258
139.57000	24212.60775	26714.66174	21.57683	20.02757
139.57000	117.35647	136.09407	30.20012	28.29112
493.70000	13211.02200	12062.77359	20.10075	18.43600
938.27000	1381.98254	1448.60434	20.23159	18.38320
