
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	25000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
105.66000	254.63778	254.63839	17.01617	15.43819
105.66000	62850.66283	64045.16604	22.82681	20.93978
938.27000	7683.92730	7703.82409	17.15377	15.63285
938.27000	1437.96807	1438.20772	19.80243	18.03789
139.57000	66266.91297	68825.08091	22.50494	20.77803
493.70000	4638.71136	4637.80788	17.81345	16.06845
938.27000	942.59394	943.17789	26.25290	24.44658
493.70000	553.58248	553.51363	23.14689	21.40459
105.66000	4823.69210	4815.64216	21.14862	19.26690
493.70000	21766.19912	21764.91616	20.94249	19.42794
139.57000	31933.63581	31468.23394	22.02763	20.48182
938.27000	1158.86271	1158.96161	22.99672	21.03042
105.66000	65.37177	65.36981	32.38752	30.42565
493.70000	64935.59015	63257.09810	21.72350	20.10835
139.57000	863.87471	864.27836	16.74045	15.27909
139.57000	9624.87678	9628.12012	20.67500	19.17274
105.66000	56284.68412	55753.95605	22.92059	21.11930
105.66000	6500.39094	6484.34625	21.20247	19.55483
105.66000	52922.37788	54715.61010	22.22099	20.64357
493.70000	588.22171	588.20475	22.51719	20.96811
493.70000	2791.57129	2789.21135	16.97119	15.32678
493.70000	394.00372	394.00775	32.44032	30.58053
493.70000	660.90691	661.10086	21.54948	19.64072
493.70000	57295.11766	57171.64941	21.98803	20.19970
493.70000	75860.21985	76045.68254	21.83185	20.10378
105.66000	115.48996	115.49176	23.82589	22.26787
938.27000	4197.09791	4199.31419	16.03061	14.78893
938.27000	4219.38255	4216.50969	16.29820	14.79702
938.27000	27318.40719	27079.15965	20.08575	18.48933
493.70000	467.30830	467.42918	26.85376	25.25846
938.27000	30623.27208	31065.45895	20.29896	18.70299
493.70000	603.97700	603.92956	21.66395	20.15218
938.27000	13069.53288	13033.71889	18.35940	16.90603
493.70000	1538.99927	1538.66477	16.71014	15.26360
105.66000	99.57071	99.56818	27.16190	25.17926
493.70000	71807.73063	68401.22814	22.24432	20.53110
139.57000	343.12350	343.15208	16.70381	15.09499
493.70000	711.97325	712.16568	19.81457	18.31034
493.70000	13701.17569	13684.93168	19.82524	18.24187
139.57000	488.98206	489.00767	16.34192	14.87358
105.66000	33062.80406	33242.68375	22.51909	20.72963
938.27000	1616.84823	1617.80152	18.49975	16.95021
938.27000	4274.08105	4264.88203	16.70391	15.05293
105.66000	5986.07652	5999.26592	21.48252	19.63386
493.70000	833.29056	833.22595	19.03250	17.19749
139.57000	5171.18817	5185.07921	20.95041	18.82989
938.27000	12223.85035	12237.34079	18.46448	16.88069
105.66000	31118.86451	31250.63166	22.08307	20.42304
105.66000	142.40385	142.41465	21.19212	19.42635
105.66000	8966.28257	8982.88826	21.36341	19.78979
