Reduced Drift Field (V/cm/bar);Dt (sqrt(bar)*um*1/sqrt(cm))
20.258255715495345; 3764.561115668581
22.33276883996613; 3721.4930270713703
24.85182049110923; 3666.9401148482366
25.59271803556308; 3603.7735849056603
26.481795088907703; 3523.3798195242002
27.37087214225233; 3448.7284659557017
28.259949195596953; 3368.334700574241
28.852667231160034; 3305.1681706316654
29.741744284504655; 3236.259228876128
30.186282811176973; 3201.8047579983595
33.001693480101615; 3170.2214930270716
35.81710414902624; 3141.509433962264
38.33615580016936; 3115.6685808039374
39.817950889077046; 3101.312551271534
41.00338696020322; 3063.9868744872847
42.48518204911091; 3018.047579983593
43.96697713801863; 2969.237079573421
45.44877222692633; 2914.684167350287
46.63420829805249; 2857.260049220673
48.11600338696021; 2799.8359310910582
49.30143945808637; 2742.411812961444
49.5977984758679; 2707.957342083675
51.968670618120235; 2679.2452830188677
54.78408128704488; 2641.9196062346186
58.488569009314126; 2650.5332239540608
60.266723116003384; 2667.760459392945
62.34123624047417; 2650.5332239540608
64.71210838272651; 2633.305988515176
66.78662150719728; 2604.593929450369
68.86113463166808; 2564.397046759639
71.2320067739204; 2541.427399507793
73.89923793395425; 2541.427399507793
75.97375105842505; 2512.7153404429864
77.307366638442; 2469.647251845775
78.93734123624048; 2426.5791632485643
79.82641828958509; 2400.738310090238
82.34546994072821; 2423.707957342084
84.41998306519898; 2446.6776045939296
85.45723962743438; 2443.8063986874486
86.34631668077898; 2403.6095159967185
87.8281117696867; 2357.670221493027
89.30990685859439; 2311.7309269893353
90.05080440304826; 2288.7612797374895
91.38441998306519; 2323.2157506152585
92.56985605419135; 2363.4126333059885
93.75529212531754; 2403.6095159967185
95.23708721422523; 2443.8063986874486
96.27434377646063; 2397.867104183757
97.60795935647755; 2357.670221493027
99.08975444538524; 2323.2157506152585
100.12701100762064; 2288.7612797374895
102.64606265876375; 2288.7612797374895
105.01693480101608; 2288.7612797374895
108.12870448772227; 2268.6628383921247
110.05503810330228; 2254.306808859721
112.4259102455546; 2274.4052502050863
114.79678238780693; 2288.7612797374895
116.57493649449617; 2260.0492206726826
118.35309060118541; 2219.8523379819526
120.42760372565621; 2185.3978671041837
122.79847586790854; 2139.458572600492
125.0211685012701; 2113.6177194421657
127.83657917019474; 2136.587366694011
129.76291278577477; 2153.8146021328957
131.24470787468246; 2122.231337161608
133.61558001693479; 2093.5192780968005
135.24555461473327; 2073.420836751435
136.87552921253175; 2113.6177194421657
138.95004233700251; 2136.5873666940115
140.1354784081287; 2148.072190319934
142.0618120237087; 2099.261689909762
143.6917866215072; 2044.7087776866283
144.72904318374256; 2015.996718621821
146.95173581710412; 2001.6406890894177
149.7671464860288; 1987.284659557014
151.84165961049956; 1975.799835931091
154.2125317527519; 1964.3150123051682
156.87976291278574; 1967.1862182116488
158.657917019475; 1981.5422477440525
161.02878916172733; 2004.5118949958983
163.69602032176118; 2030.3527481542246
165.77053344623198; 2021.7391304347825
167.84504657070278; 2024.610336341263
169.62320067739202; 2007.3831009023788
172.58679085520745; 2007.3831009023788
174.66130397967822; 2007.3831009023788
175.84674005080439; 1984.413453650533
177.62489415749363; 1955.7013945857257
178.8103302286198; 1932.7317473338799
180.8848433530906; 1932.7317473338799
183.848433530906; 1932.7317473338799
186.21930567315832; 1955.7013945857257
187.701100762066; 1981.5422477440525
189.62743437764604; 2007.3831009023788
190.66469093988144; 1967.1862182116488
192.2946655376799; 1924.1181296144382
193.3319220999153; 1875.3076292042656
194.3691786621507; 1837.9819524200161
