Reduced Drift Field (V/cm/bar);Dt (sqrt(bar)*um*1/sqrt(cm))
19.961896697713804; 617.7194421657091
22.036409822184588; 589.0073831009022
24.70364098221846; 566.0377358490564
27.66723116003387; 560.2953240360948
30.334462320067736; 566.0377358490564
32.85351397121084; 548.8105004101717
35.81710414902624; 537.325676784249
38.632514817950884; 525.8408531583268
41.74428450465707; 520.0984413453648
45.15241320914479; 517.2272354388842
48.412362404741735; 511.4848236259227
50.635055038103296; 505.74241181296156
52.85774767146486; 525.8408531583259
54.93226079593564; 543.0680885972106
57.59949195596952; 528.7120590648074
59.822184589331066; 505.74241181296156
62.63759525825571; 508.6136177194421
65.89754445385267; 517.2272354388842
69.00931414055884; 531.5832649712879
73.01016088060965; 531.5832649712879
76.56646909398813; 531.5832649712879
79.67823878069433; 548.8105004101717
82.49364944961897; 531.5832649712879
86.04995766299746; 514.3560295324032
90.19898391193902; 520.0984413453648
93.60711261642675; 543.0680885972106
97.60795935647755; 540.19688269073
101.16426756985604; 537.325676784249
103.68331922099915; 568.908941755537
107.09144792548688; 577.5225594749795
111.09229466553768; 571.7801476620175
114.64860287891617; 563.1665299425758
118.64944961896694; 548.8105004101717
122.05757832345472; 563.1665299425758
125.31752751905162; 574.651353568498
127.9847586790855; 551.6817063166532
130.65198983911935; 540.19688269073
133.76375952582555; 543.0680885972106
136.87552921253172; 566.0377358490564
138.95004233700251; 594.7497949138633
140.4318374259102; 611.977030352748
142.80270956816256; 589.0073831009022
145.46994072819643; 577.5225594749795
148.58171041490263; 571.7801476620175
150.95258255715495; 571.7801476620175
153.02709568162572; 583.2649712879406
155.6943268416596; 594.7497949138633
158.657917019475; 577.5225594749795
162.06604572396273; 586.1361771944212
165.47417442845045; 603.3634126333059
169.3268416596105; 597.6210008203439
173.17950889077053; 577.5225594749795
177.18035563082134; 574.651353568498
180.73666384419982; 583.2649712879406
183.70025402201523; 611.977030352748
185.33022861981368; 634.9466776045938
187.40474174428448; 617.7194421657091
190.66469093988144; 614.8482362592285
194.22099915325992; 614.8482362592285
