Reduced Drift Field (V/cm/bar);Dl (sqrt(bar)*um*1/sqrt(cm))
19.659624413145536; 1301.8492176386915
20.481220657276992; 1292.4608819345663
21.165884194053206; 1284.7795163584638
21.987480438184654; 1276.24466571835
22.535211267605625; 1266.8563300142248
23.35680751173708; 1259.1749644381225
24.0414710485133; 1250.6401137980085
24.726134585289508; 1242.1052631578948
25.684663536776213; 1235.2773826458038
26.50625978090767; 1227.5960170697012
27.46478873239436; 1219.914651493599
28.286384976525817; 1212.2332859174965
29.518779342723; 1202.8449502133712
30.61424100156494; 1195.163584637269
31.709702660406883; 1187.4822190611667
33.07902973395931; 1179.8008534850642
34.31142410015649; 1172.1194879089617
35.68075117370892; 1164.4381223328592
36.9131455399061; 1156.7567567567569
38.28247261345852; 1148.2219061166431
39.7887323943662; 1140.5405405405406
40.61032863849765; 1128.5917496443813
41.4319248826291; 1117.4964438122333
42.25352112676056; 1107.254623044097
43.21205007824726; 1095.3058321479375
43.89671361502347; 1084.2105263157896
44.718309859154935; 1074.8221906116644
45.81377151799686; 1066.2873399715506
46.90923317683882; 1057.752489331437
47.86776212832551; 1049.217638691323
48.96322378716744; 1040.6827880512092
49.92175273865415; 1030.4409672830727
50.88028169014085; 1020.1991465149362
51.701877934272304; 1009.1038406827881
52.52347417840376; 999.7155049786629
53.345070422535215; 991.1806543385492
53.892801251956186; 982.6458036984354
54.5774647887324; 974.1109530583216
55.53599374021907; 980.9388335704127
56.22065727699531; 989.4736842105265
57.04225352112674; 996.3015647226175
57.86384976525821; 1003.9829302987199
58.68544600938968; 1011.6642958748223
59.50704225352112; 1020.1991465149362
59.78090766823162; 1023.6130867709817
60.60250391236306; 1013.3712660028452
61.287167449139275; 1003.9829302987199
62.245696400625974; 994.5945945945948
62.93035993740219; 986.059743954481
63.75195618153364; 976.6714082503557
64.29968701095463; 969.8435277382648
64.71048513302036; 963.0156472261738
65.53208137715181; 974.1109530583216
66.21674491392801; 982.6458036984354
66.764475743349; 991.1806543385492
67.58607198748044; 1001.4224751066857
68.27073552425666; 1010.8108108108111
68.95539906103286; 1018.4921763869133
69.77699530516432; 1027.027027027027
70.32472613458529; 1016.7852062588906
71.0093896713615; 1004.8364153627313
71.42018779342723; 996.3015647226175
71.69405320813772; 987.7667140825038
72.24178403755869; 977.5248933143672
72.78951486697966; 967.2830725462306
73.20031298904539; 956.1877667140827
73.8849765258216; 945.0924608819348
74.29577464788731; 934.8506401137981
74.70657276995304; 929.7297297297299
75.66510172143975; 941.6785206258892
76.34976525821597; 951.9203413940257
76.89749608763694; 962.1621621621623
77.44522691705791; 970.6970128022762
78.12989045383414; 980.9388335704127
78.67762128325509; 991.1806543385494
79.36228482003132; 999.715504978663
79.63615023474178; 1003.1294452347086
80.320813771518; 992.8876244665721
81.0054773082942; 982.6458036984354
81.69014084507043; 971.5504978662875
82.2378716744914; 960.4551920341396
82.78560250391237; 951.0668563300144
83.19640062597811; 941.6785206258892
83.88106416275431; 931.4366998577527
84.42879499217528; 922.9018492176389
84.70266040688576; 917.7809388335706
86.0719874804382; 924.6088193456616
87.30438184663537; 932.2901849217641
88.6737089201878; 939.9715504978665
89.76917057902973; 945.0924608819348
91.00156494522692; 939.9715504978665
92.23395931142412; 934.8506401137981
93.60328638497653; 928.8762446657186
94.97261345852895; 922.0483641536276
96.06807511737088; 916.0739687055478
97.16353677621284; 908.3926031294455
98.53286384976526; 899.8577524893317
99.6283255086072; 892.1763869132292
100.86071987480439; 883.6415362731153
101.8192488262911; 872.5462304409675
102.77777777777779; 864.0113798008537
103.59937402190924; 854.6230440967284
104.69483568075118; 844.381223328592
105.3794992175274; 856.3300142247513
105.79029733959314; 867.4253200568992
106.3380281690141; 881.0810810810812
106.88575899843508; 892.1763869132292
107.70735524256654; 905.8321479374113
108.39201877934273; 919.4879089615935
108.9397496087637; 929.7297297297299
109.76134585289515; 941.6785206258892
110.58294209702659; 928.0227596017072
110.99374021909232; 916.0739687055478
111.26760563380283; 902.4182076813657
111.67840375586856; 890.4694167852065
112.22613458528953; 876.8136557610244
112.77386541471051; 859.7439544807968
113.32159624413146; 847.7951635846375
113.73239436619718; 836.6998577524895
114.14319248826293; 825.6045519203417
114.55399061032863; 815.362731152205
116.06025039123632; 815.362731152205
117.97730829420972; 821.3371266002846
119.89436619718312; 827.3115220483644
122.085289514867; 830.7254623044099
124.55007824726137; 834.1394025604553
126.46713615023477; 840.113798008535
128.38419405320815; 846.0881934566147
130.57511737089203; 852.9160739687057
132.7660406885759; 856.3300142247513
134.6830985915493; 859.7439544807968
136.32629107981222; 866.5718349928878
137.96948356807513; 873.3997155049789
139.61267605633805; 881.0810810810812
140.4342723004695; 869.9857752489334
141.25586854460096; 858.0369843527741
142.0774647887324; 846.0881934566147
143.0359937402191; 834.1394025604554
143.99452269170575; 817.9231863442392
144.8161189358372; 807.6813655761027
146.04851330203445; 800.8534850640116
147.28090766823163; 793.1721194879092
148.65023474178406; 784.6372688477953
149.47183098591552; 777.8093883357044
150.84115805946794; 770.9815078236135
151.93661971830988; 762.4466571834996
153.3059467918623; 755.6187766714086
154.40140845070425; 747.9374110953062
155.4968701095462; 753.9118065433859
156.31846635367765; 762.4466571834996
157.1400625978091; 770.9815078236135
157.96165884194056; 781.22332859175
159.0571205007825; 789.7581792318638
159.74178403755872; 797.4395448079663
161.11111111111114; 803.4139402560457
162.8912363067293; 810.2418207681368
164.5344287949922; 817.0697012802278
166.17762128325512; 809.3883357041256
167.5469483568075; 801.7069701280232
169.05320813771522; 793.1721194879093
