px,1,3,4,5,6,7,8,9,10,13,16,19
0,5.4473,6.4768,5.6287,5.7426,5.5907,5.6287,6.0970,5.3460,5.1772,5.7131,5.7257,5.5570
1,5.7300,6.1814,5.8397,6.2068,5.8186,5.2068,5.7764,5.6329,5.5401,5.5316,5.5274,5.7511
2,5.4726,6.4810,5.6118,5.1603,5.5190,5.1730,5.6160,5.2743,5.5105,4.9916,5.9578,5.6034
3,5.5865,6.2489,5.7806,5.2869,5.2236,5.7679,5.5105,5.2236,5.2110,5.4810,5.9662,5.5823
4,5.5823,6.5654,5.5612,5.3966,5.8228,5.9578,5.2025,5.1857,5.7215,5.6540,5.5654,6.0000
5,5.5949,6.4388,5.7637,6.3755,5.6076,5.5992,5.5190,5.6203,5.5232,5.7215,5.9451,5.5781
6,5.3924,6.6498,5.6245,5.4852,5.5781,5.1055,5.4008,5.4262,5.9409,5.1013,5.4008,5.8439
7,5.3038,6.7848,6.3544,5.8228,5.5654,5.8017,5.7426,5.4810,6.1772,5.4726,5.7004,5.7342
8,5.5105,6.5570,5.8650,5.7004,5.7637,5.7975,5.2743,5.8819,5.6329,5.4262,5.3544,5.5359
9,6.1224,6.1435,6.2489,5.5654,5.9662,5.0759,5.6371,5.3629,5.5823,5.3460,5.9789,5.9789
10,5.6456,6.5527,6.1899,5.2700,5.6793,5.6835,5.6962,5.7173,5.5612,5.5992,5.6371,5.4388
11,6.0000,6.4557,5.7342,5.8228,5.4177,5.4473,5.7553,5.2025,5.0338,5.7342,5.9030,5.7089
12,5.7384,6.9536,5.8776,5.6118,5.3629,6.0295,6.0506,5.6709,5.9620,5.3671,5.3418,5.4430
13,5.7468,6.5612,6.1477,5.7975,5.4726,5.8354,5.5992,5.6160,5.3080,6.2616,6.3038,5.9367
14,5.8270,6.7848,6.0844,6.1814,5.7511,5.9705,5.1772,5.5190,5.6371,5.0169,5.7342,5.9325
15,5.7131,6.9747,5.8776,5.5781,5.8608,6.1899,5.3544,5.6076,5.5485,5.4135,5.8650,5.4641
16,5.9367,6.5232,5.6203,6.0042,5.6034,5.8017,5.6793,5.4135,5.7384,5.3080,5.9241,5.6498
17,5.4557,6.7595,5.9705,5.5443,5.8312,5.6371,5.8945,5.7637,5.7046,5.8861,6.0675,5.9494
18,5.6709,6.0591,6.2447,6.0253,5.8270,5.5612,5.9283,5.5570,6.0591,5.2574,5.9367,5.8523
19,5.7595,6.4262,6.1519,5.8228,5.8017,5.9241,5.5865,5.8734,5.6414,5.2321,5.8101,5.8650
20,5.7511,6.8565,6.1519,5.8523,5.5992,5.9114,5.6835,5.9409,5.6962,5.4557,5.7426,5.4304
21,6.3502,6.9747,6.0506,5.9325,5.7468,5.8143,5.5232,6.3122,5.5021,5.4810,5.7975,6.3249
22,5.8397,6.0253,5.6329,6.2236,5.2405,6.1646,5.6835,5.6160,5.7046,6.3165,5.6456,6.0633
23,6.1392,6.0717,5.8481,5.8608,5.9831,6.1941,6.2405,5.7215,5.4684,5.4135,5.1772,5.7131
24,6.5443,6.1814,6.5949,6.2743,6.0591,5.2574,5.6793,5.9030,6.2278,5.3038,5.2869,5.9241
25,6.1688,6.6751,5.9241,6.0717,5.9958,5.6498,5.4684,5.4473,5.1308,5.7637,6.5190,6.0844
26,5.4473,6.1561,6.3460,6.0127,5.8312,6.1477,5.9536,5.8397,5.5190,5.5021,6.0000,5.8439
27,6.0549,6.4641,5.7384,5.8523,6.0928,5.7595,5.4726,5.7300,5.4599,5.6582,6.3291,5.7764
28,5.9114,6.8945,6.0591,5.5021,5.4852,6.3122,5.6751,5.9494,5.2405,5.8987,5.9156,5.8565
29,5.9620,7.0464,6.1941,5.7342,6.2405,5.5781,5.7764,6.2068,5.4051,5.6118,5.5063,5.8819
30,5.3797,6.1139,5.8692,5.6456,5.8228,5.8186,5.9662,5.5949,5.4895,5.7342,6.0591,6.0000
31,5.7215,6.7848,5.9367,6.4726,5.7511,6.0253,5.7046,6.1266,5.3924,6.0422,5.7046,5.9072
32,5.6540,6.8481,6.3122,6.0802,6.2152,6.2110,5.7975,5.6203,5.9578,5.6076,5.9072,6.0844
33,5.5105,7.2743,6.2869,5.6709,6.4599,5.5063,5.8523,5.9283,5.7595,5.7468,5.6203,6.1857
34,6.3291,6.5527,5.8776,6.1350,5.6540,5.9536,5.8228,5.7764,6.0549,6.0591,5.5316,5.5992
35,5.8143,7.1181,5.8608,5.9747,5.9916,5.8819,5.4979,5.5696,5.8143,5.6498,5.9451,6.5738
36,6.1519,6.6160,6.2954,6.1435,5.6751,5.7384,5.9494,5.9873,6.2489,5.8228,5.8987,5.4768
37,5.8945,6.6835,6.3755,6.2278,5.9831,6.1899,6.1519,5.6920,6.4684,5.5190,6.0970,5.9451
38,6.1308,7.1561,6.4051,6.2152,5.7848,5.7511,5.7089,5.7215,5.9789,5.6371,6.1013,6.3291
39,6.0338,6.6667,6.4388,6.3797,5.6076,6.2405,6.0127,5.7975,5.8734,5.5570,5.9367,6.1899
40,5.9789,6.9958,6.0886,5.8861,5.8608,5.8650,5.4219,6.0928,5.9451,5.3671,5.6793,5.8312
41,6.0675,6.7173,6.6371,6.0717,5.7046,6.1983,5.9958,6.1603,6.0970,6.0633,6.5696,6.1224
42,5.6751,6.7679,6.1308,6.4388,5.6245,5.8861,5.4895,5.7089,5.8776,5.9030,5.8186,6.0844
43,5.3376,7.2236,6.1181,6.1013,6.2236,6.3924,6.0464,6.1477,6.2447,6.0000,5.4093,6.0042
44,6.2447,6.8354,7.1266,5.9662,5.9536,5.4810,5.5823,6.6245,5.9198,6.3291,6.6034,6.3376
45,6.0591,6.8439,6.8228,5.8354,6.3629,6.2405,5.9620,5.6835,6.5992,6.3333,6.0253,6.2447
46,5.7890,7.0464,6.6709,6.3586,6.3882,6.3376,5.5021,6.0380,6.0549,6.1181,6.1224,6.0127
47,5.6160,7.1561,6.7975,6.2827,6.3502,5.6793,5.9030,5.8523,6.0042,6.3460,6.4937,6.1477
48,6.4979,6.8987,6.5316,6.3797,6.2278,6.8608,6.6498,6.4304,6.3376,6.6160,6.4473,5.7975
49,5.9705,7.4051,7.0338,6.5738,6.3249,6.4219,6.4051,6.3713,6.4177,5.5949,6.2405,6.1941
50,5.8565,6.5992,6.8186,6.1181,6.3291,5.9156,5.9958,5.9916,5.5232,5.8481,6.0127,5.9241
51,5.5063,6.9747,6.5865,5.9451,6.2363,6.6835,6.3207,6.1224,5.6624,5.5359,5.6203,5.6329
52,6.2700,6.7257,6.3924,5.6540,5.8565,6.0338,6.1983,6.2574,5.6624,5.9747,6.2616,6.3291
53,6.3080,6.9789,6.5654,6.1730,6.8692,6.2574,5.8945,6.4726,6.7764,6.0549,6.8523,6.3249
54,6.2110,7.1899,5.7637,6.2489,6.2447,6.2025,6.1013,6.1055,5.9789,6.0000,6.3376,5.8439
55,6.2068,7.3333,6.8017,6.5316,6.2743,6.6160,5.6920,6.3797,6.3755,5.7932,6.1983,6.2363
56,6.0675,7.1899,6.5401,6.2110,6.0422,6.3165,6.0886,6.4599,5.7131,6.1266,6.1392,5.9030
57,5.9114,7.4177,6.8776,7.1941,6.4810,6.7173,6.9451,6.2363,6.0422,5.9367,7.1224,5.8734
58,6.2152,7.1392,6.5992,5.6540,6.0970,6.3418,6.1181,6.3249,6.0928,6.1013,6.6498,5.9620
59,6.4557,7.0717,6.6920,6.1561,6.5527,6.1561,6.1814,6.2363,6.6667,5.3586,6.2700,6.5612
60,6.1561,7.3966,6.3418,6.3840,6.7595,6.0886,6.1561,5.9705,5.9241,6.3882,6.2152,6.2278
61,6.3291,7.1941,6.6287,6.8565,6.5781,6.2321,6.3080,6.7215,6.4219,5.9030,7.1266,6.4768
62,6.0591,7.2278,5.9072,6.3080,6.2194,6.5527,5.8186,5.3586,6.1814,6.1350,6.2954,6.6878
63,6.1224,7.2194,6.2869,6.3165,6.2363,6.1308,6.1561,6.2996,5.9578,6.4262,6.5907,6.3291
64,6.4008,7.5359,7.3291,6.6498,6.4219,6.3502,6.2236,6.7426,6.5190,5.8903,6.4177,6.0886
