Bar0; 28.68852459016384
Bar1; 41.59836065573772
Bar2; 55.94262295081946
Bar3; 73.15573770491797
Bar4; 98.97540983606557
Bar5; 177.8688524590164
Bar6; 315.57377049180326
Bar7; 410.24590163934414
Bar8; 578.0737704918033
Bar9; 829.0983606557377
Bar10; 994.0573770491802
Bar11; 1278.0737704918033
Bar12; 1387.0901639344263
Bar13; 1484.6311475409836
Bar14; 1487.5
Bar15; 1491.8032786885246
Bar16; 1458.811475409836
Bar17; 1253.688524590164
Bar18; 1189.1393442622955
Bar19; 1051.4344262295083
Bar20; 946.7213114754098
Bar21; 816.1885245901639
Bar22; 697.1311475409836
Bar23; 599.5901639344262
Bar24; 512.0901639344262
Bar25; 448.9754098360655
Bar26; 414.54918032786884
Bar27; 341.39344262295083
Bar28; 278.27868852459017
Bar29; 251.02459016393433
Bar30; 235.24590163934423
Bar31; 209.42622950819666
Bar32; 196.51639344262293
Bar33; 186.47540983606544
Bar34; 142.00819672131146
Bar35; 144.87704918032776
Bar36; 121.92622950819674
Bar37; 116.18852459016391
Bar38; 116.18852459016391
Bar39; 110.45081967213108
Bar40; 101.84426229508199
Bar41; 81.76229508196722
Bar42; 76.02459016393439
Bar43; 64.54918032786873
Bar44; 74.59016393442619
Bar45; 71.72131147540976
Bar46; 57.37704918032768
Bar47; 53.073770491803394
Bar48; 57.37704918032768
Bar49; 51.63934426229519
Bar50; 44.46721311475414
Bar51; 44.46721311475414
Bar52; 57.37704918032768
Bar53; 43.03278688524593
Bar54; 44.46721311475414
Bar55; 35.86065573770488
Bar56; 51.63934426229519
Bar57; 31.557377049180257
Bar58; 43.03278688524593
Bar59; 30.12295081967204
Bar60; 27.25409836065563
Bar61; 35.86065573770488
Bar62; 27.25409836065563
Bar63; 25.81967213114742
